unique_id,ds,y,Chronos
141,2019-01-25 05:00:00,59,75.56588
141,2019-01-25 06:00:00,193,241.04558
141,2019-01-25 07:00:00,448,460.09094
141,2019-01-25 08:00:00,486,504.09137
141,2019-01-25 09:00:00,436,430.43854
141,2019-01-25 10:00:00,430,427.56897
141,2019-01-25 11:00:00,335,374.9598
141,2019-01-25 12:00:00,353,368.2641
141,2019-01-25 13:00:00,344,358.6988
141,2019-01-25 14:00:00,383,392.17734
141,2019-01-25 15:00:00,383,388.35123
141,2019-01-25 16:00:00,316,353.91614
141,2019-01-25 17:00:00,458,399.82956
141,2019-01-25 18:00:00,514,460.09094
141,2019-01-25 19:00:00,472,436.17773
141,2019-01-25 20:00:00,401,375.91632
141,2019-01-25 21:00:00,339,335.74207
141,2019-01-25 22:00:00,318,302.2635
141,2019-01-25 23:00:00,278,256.35007
141,2019-01-26 00:00:00,185,181.74072
141,2019-01-26 01:00:00,136,122.43585
141,2019-01-26 02:00:00,106,104.26178
141,2019-01-26 03:00:00,66,86.08771
141,2019-01-26 04:00:00,81,73.65282
141,2019-01-26 05:00:00,35,39.217735
141,2019-01-26 06:00:00,74,68.87017
141,2019-01-26 07:00:00,133,128.17503
141,2019-01-26 08:00:00,226,219.04538
141,2019-01-26 09:00:00,380,331.91595
141,2019-01-26 10:00:00,455,393.13385
141,2019-01-26 11:00:00,409,437.13425
141,2019-01-26 12:00:00,389,434.26465
141,2019-01-26 13:00:00,450,423.7428
141,2019-01-26 14:00:00,390,377.8294
141,2019-01-26 15:00:00,407,414.17755
141,2019-01-26 16:00:00,382,388.35123
141,2019-01-26 17:00:00,469,405.56876
141,2019-01-26 18:00:00,489,447.65607
141,2019-01-26 19:00:00,526,462.96057
141,2019-01-26 20:00:00,375,368.2641
141,2019-01-26 21:00:00,359,336.69858
141,2019-01-26 22:00:00,338,311.82883
141,2019-01-26 23:00:00,269,293.65472
141,2019-01-27 00:00:00,202,206.6105
141,2019-01-27 01:00:00,147,141.56645
141,2019-01-27 02:00:00,132,125.30545
141,2019-01-27 03:00:00,88,84.17465
141,2019-01-27 04:00:00,70,80.348526
141,2019-01-27 05:00:00,37,34.435085
141,2019-01-27 06:00:00,50,39.217735
141,2019-01-27 07:00:00,91,85.13118
141,2019-01-27 08:00:00,149,142.52298
141,2019-01-27 09:00:00,237,224.78458
141,2019-01-27 10:00:00,400,326.17676
141,2019-01-27 11:00:00,365,370.17712
141,2019-01-27 12:00:00,390,411.30795
141,2019-01-27 13:00:00,375,405.5688
141,2019-01-27 14:00:00,331,369.2206
141,2019-01-27 15:00:00,374,352.9596
141,2019-01-27 16:00:00,307,359.4806
141,2019-01-27 17:00:00,338,357.53223
141,2019-01-27 18:00:00,304,369.22263
141,2019-01-27 19:00:00,241,330.25455
141,2019-01-27 20:00:00,194,259.1378
141,2019-01-27 21:00:00,160,192.89203
141,2019-01-27 22:00:00,118,162.69177
141,2019-01-27 23:00:00,93,104.23964
141,2019-01-28 00:00:00,51,53.581123
141,2019-01-28 01:00:00,43,35.07128
141,2019-01-28 02:00:00,21,23.380856
141,2019-01-28 03:00:00,31,24.355057
141,2019-01-28 04:00:00,36,37.019688
141,2019-01-28 05:00:00,96,65.271545
141,2019-01-28 06:00:00,218,231.86012
141,2019-01-28 07:00:00,404,457.87506
141,2019-01-28 08:00:00,454,473.46225
141,2019-01-28 09:00:00,410,379.93884
141,2019-01-28 10:00:00,354,378.96466
141,2019-01-28 11:00:00,321,326.35773
141,2019-01-28 12:00:00,290,336.09973
141,2019-01-28 13:00:00,313,317.58994
141,2019-01-28 14:00:00,332,344.86755
141,2019-01-28 15:00:00,391,356.558
141,2019-01-28 16:00:00,357,329.28033
141,2019-01-28 17:00:00,377,354.60962
141,2019-01-28 18:00:00,359,385.7841
141,2019-01-28 19:00:00,337,315.64154
141,2019-01-28 20:00:00,272,266.9314
141,2019-01-28 21:00:00,245,222.1181
141,2019-01-28 22:00:00,164,156.84656
141,2019-01-28 23:00:00,89,97.42022
141,2019-01-29 00:00:00,54,50.658516
141,2019-01-29 01:00:00,34,29.22607
141,2019-01-29 02:00:00,19,17.535643
141,2019-01-29 03:00:00,17,16.561441
141,2019-01-29 04:00:00,33,35.07128
141,2019-01-29 05:00:00,65,72.090965
141,2019-01-29 06:00:00,219,236.73114
141,2019-01-29 07:00:00,441,463.72025
141,2019-01-29 08:00:00,500,489.0495
141,2019-01-29 09:00:00,424,382.86148
141,2019-01-29 10:00:00,391,395.52612
141,2019-01-29 11:00:00,327,324.40936
141,2019-01-29 12:00:00,325,339.02234
141,2019-01-29 13:00:00,370,325.38354
141,2019-01-29 14:00:00,365,353.6354
141,2019-01-29 15:00:00,397,363.37744
141,2019-01-29 16:00:00,322,332.20294
141,2019-01-29 17:00:00,407,366.30002
141,2019-01-29 18:00:00,494,413.06174
141,2019-01-29 19:00:00,380,341.94495
141,2019-01-29 20:00:00,282,284.46704
141,2019-01-29 21:00:00,282,248.42157
141,2019-01-29 22:00:00,181,184.1242
141,2019-01-29 23:00:00,106,101.31703
141,2019-01-30 00:00:00,49,54.55533
141,2019-01-30 01:00:00,21,33.12288
141,2019-01-30 02:00:00,22,19.484047
141,2019-01-30 03:00:00,25,19.484047
141,2019-01-30 04:00:00,33,33.12288
141,2019-01-30 05:00:00,72,69.168365
141,2019-01-30 06:00:00,228,233.80853
141,2019-01-30 07:00:00,512,469.56546
